Salle;Adresse;Ville;Numéro de téléphone;Email
The Rock Gym;14 Rue Abdallah Ibn zoubair Cité Ettahrir ;Tunis;+216 55 88 84 25 ;therockgym16@gmail.com
The YOGA Studio;10, Rue Rayahin Khezema-Est ;Sousse;+216 53 27 80 90 ;theyogastudiosousse@gmail.com
Tichilla Sportive des Jeux Individuels;Scouts tunisiens ;Testour;+216 95 46 21 53 ;mahmoudbjaoui24@gmail.com
Tinja Sport;Tinja ;Bizerte;+216 25 26 64 33 ;chalghoumich@gmail.com
Titan club gym;Rue de Mahdia ;Nabeul;+216 52 11 94 45 ;titanclubgym@gmail.com
Titans Team;Rue Tahar Sfar, El Manar ;Tunis;+216 23 66 30 54 ;null
TK1 Gym;5 rue Tahar Ben Ammar ;Tunis;+216 24 61 11 11 ;clasram.eve@gmail.com
Top Fitness;Rue Jawhar s'killi Hammamet ;Nabeul;+216 29 11 20 07 ;topfitnesshammamet@gmail.com
Tracks Fitness Club;18 rue de la terre nozhet soltan Borj Cedria ;Hammam Chat;+216 24 99 50 00 ;bolbol12@hotmail.de
Triathlon Sfax Taparura;Centre ville ;Sfax;+216 74 74 16 42 ;null
Tunis Automobile Club;Avenue Habib Bourguiba ;Tunis;+216 71 24 11 76 ;null
Tunisia Racing Club ;Tunisie ;Tunis;+216 98 35 11 75 ;trc.sportmecanique@laposte.net
Tunisian Eagles Fouchana;Fouchana ;Ben Arous;+216 22 38 32 96 ;null
Tunisie Minifootball;El Menzah ;Tunis;+216 31 40 06 33 ;null
Underground Fitness TN;Ezzahra ;Ben Arous;+216 56 05 00 57 ;undergroundfitnesstunisia@gmail.com
Union sportif Majoura;Quartier Majoura ;Sned;+216 23 22 32 20 ;usmajoura@gmail.com
Union Sportif Zriba;Stade municipal Zriba Hammem ;Zériba;+216 25 10 58 08 ;hamdahadjsghaieir@gmail.com
Union Sportive Akouda;Rue Ali Ben Ayed, Akouda ;Sousse;+216 53 55 75 22 ;usakouda@gmail.com
Union sportive AL Hamma;Al Hamma ;Gabès;+216 50 85 57 93 ;null
Union Sportive Borj Cedria;Borj Cedria ;Ben Arous;+216 55 54 03 49 ;null
Union sportive Cherahil;Cherahil ;Monastir;+216 28 56 89 00 ;null
Union Sportive de Kelibia;Kelibia ;Nabeul;+216 58 17 70 51 ;null
Union Sportive de Sayada (USS);Salle omnisports de Sayada ;Sayada Lamta Bouhjar;union.s.sayada@gmail.com;null
Union Sportive de Sidi Bouali;Sidi Bouali  ;Sousse;+216 73 25 56 80 ;unionsportivedesidibouali@gmail.com
Union Sportive de Taekwondo ;Rue Said Ibn Abi Bakr ;Tunis;+216 22 36 31 33 ;null
Union Sportive de Taekwondo (USTDA);1 Rue 10175 Ouardia, Mathildeville ;Tunis;+216 22 36 31 33 ;ustdatunisia@gmail.com
Union Sportive de Tataouine;Centre ville ;Tataouine;+216 71 78 54 71 ;null
Union Sportive Djedaida;Jedaida ;Manouba;+216 22 23 58 47 ;us-djedaida@hotmail.fr
Union Sportive du Sahel ;Rue El Andalous ;Mahdia;+216 22 69 03 54 ;unionsportif016@outlook.fr
Union sportive El Ansar;Dar Chaabene El Fehri ;Nabeul;+216 72 36 17 68 ;null
Union sportive Fondok Djedid;Fondok el Djedid ;Nabeul;+216 93 87 09 17 ;null
Union Sportive Gafsa;Centre d'athlétisme de Gafsa ;Gafsa;+216 20 90 81 76  ;null
Union Sportive Hammamet;Hammamet ;Nabeul;+216 55 41 08 15 ;null
Union Sportive Ksour Essef;Ksour Essef ;Mahdia;+216 20 02 24 43 ;null
Union Sportive Métouia;El Métouia ;Gabès;+216 75 37 05 89 ;u.s.metouia@gmail.com
Union Sportive Monastirienne (USM);Avenue 7 Novembre ;Monastir;+216 73 467 452 / 31 530 297 ;null
Union Sportive Sidi Ameur;Sidi Ameur ;Monastir;+216 29 70 80 14 ;null
Union sportive Sijoumi ;Rue Mohammed Dhifi 18 ;Tunis;+216 71 59 54 00 ;u.s.s.sedjoumi.direction@gmail.com
Union sportive zaghouan;Maison des jeunes de Zaghouan   ;Zaghouan; +216 98 34 36 54 ;null
Universal Gym;Sahloul 2, Boulevard de la Liberté ;Sousse;+216 98 47 58 93 ;universalgym.sahloul@gmail.com
Université Club de l'Ariana - UCA;Salle Couverte ;Ariana;+216 27 31 37 87 ;universite.club.ariana@gmail.com
UpTown Gym;Tinja ;Bizerte;+216 58 93 61 00 ;null
URBAN DANCE;El Manzah  ;Ariana;+216 29 29 12 91 ;contact@urbandance.tn
VIVA GYM fitness club Ezzahra;Diar Ezzahra Avenue Mer Méditerranée  ;Ben Arous;+216 22 83 03 29 ;doniazed-tounsi@hotmail.fr
VLS School;GP9, km11 Route de la Marsa, Ain Zaghouen ;Tunis;+216 56 20 13 00 / 25 19 95 43 ;null
Volt Gym;Rue Habib Thameur , bannene ;Monastir;+216 26 92 51 14 ;null
Wassel Martial Arts Academy;Avenue Youssef Mahjoub ;Monastir;+216 97 22 23 82 ;wasselboughattas@gmail.com
Weded sportif Elhamma;El Hamma ;Gabès;+216 31 40 29 66 ;smiti_kh007@yahoo.fr
Wellness club;Route de Tunis km 3.5  ;Sfax;+216 36 35 01 24 ;clubwellness.17@gmail.com
Wellness Yoga Space;Rue Mongi Slim, au fond de la Résidence Aziz Bloc D l'Aouina ;Tunis;+216 25 13 03 24 ;null
WEMBLEY ACADEMY;91 Rue de l'Or Zone industrielle Sidi Daoud ;La Marsa;+216 71 85 41 16 ;wembley_academy@hotmail.com
Wided Sportif Sers;Rue 14 Janvier. Cité Ezzouhour Sers  ;Kef;+216  23 20 52 04 ;null
World Gym;85 Rue Gabes, Jbal Khaoui, La Marsa ;Tunis;+216 71 74 33 79 ;null
Yes fit club;Route Manzel Chaker km 1.5 Immuble Ktata ;Sfax;+216 26 77 78 86 ;null
Yoga Home;9 Rue Salem Bouhajeb, Mutuelleville ;Tunis;ciara@yogahome.tn;null
Zarzouna Tennis Academy;Centre jeunesse et sport route Manzel Abdrahmen, Zarzouna ;Bizerte;+216 50 48 54 61 ;null
ZEN CLUB plus;Rue abou firas hamdani la marsa +33 rue fatouma bourguiba ;Soukra;+216 21 527 011 ;null
Zinebledi Horse Riding Club;Hammem sousse ;Sousse;+216 52 66 09 06 ;zinebledi_horseridingclub@yahoo.com
Zitouna Azmour;Azmour ;Nabeul;+216 72 33 22 95 ;null
Zitouna Fitness;42 Rue Sahel Av. de l'indépendance Khaznadar Bardo ;Tunis;+216 21 15 15 69 ;zitouna.fitness@gmail.com
Zitouna Sport Kalaa Kebira;Kalaa Kebira ;Sousse;+216 97 59 51 78 ;null
ZIZOU PAINTBALL CLUB HAMMAMET;Hammamet ;Nabeul;+216 98 906 955 / 50 949 037 / 21 101 875 ;zizou.paintball@topnet.tn
Zou Concept fitness club;7 Rue Takrouna, La Soukra ;Ariana;+216 53 90 90 52 ;zouaoui_i@hotmail.fr
